study_id,design,outcome,outcome_category,groups,timepoint,timepoint_label,value_type,mean_e,sd_e,n_e,median_e,iqr_low_e,iqr_high_e,min_e,max_e,standard_error_e,ci_lower_e,ci_upper_e,mean_c,sd_c,n_c,median_c,iqr_low_c,iqr_high_c,min_c,max_c,standard_error_c,ci_lower_c,ci_upper_c,unit,reported_format,adjusted,analysis_scale,notes
Ishibashi 2022,Cohort,CNFD,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0.1,4.795414476,40,NA,NA,NA,NA,NA,NA,NA,NA,0.1,6.47824822,73,NA,NA,NA,NA,NA,NA,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNFD,Corneal,Dapagliflozin/standard of care,NA,NA,Change,4.631383078,5.203580601,22,5.2,0,9.37,NA,NA,NA,NA,NA,-0.630663759,2.35049064,18,0,-4.17,2.08,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Ishibashi 2022,Cohort,CNFL,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0,2.757535131,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,3.689783191,73,NA,NA,NA,NA,NA,NA,NA,NA,mm/mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNFL,Corneal,Dapagliflozin/standard of care,NA,NA,Change,1.431573651,2.357169722,22,0.92,0,2.94,NA,NA,NA,NA,NA,0.571397736,2.953238604,18,0.97,-1.21,2.81,NA,NA,NA,NA,NA,mm/mm2,Median_IQR,NA,NA,NA
Ishibashi 2022,Cohort,CNBD,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0.3,4.025916045,40,NA,NA,NA,NA,NA,NA,NA,NA,0.2,6.071655458,73,NA,NA,NA,NA,NA,NA,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNBD,Corneal,Dapagliflozin/standard of care,NA,NA,Change,12.10425859,11.66796877,22,8.33,2.08,20.3,NA,NA,NA,NA,NA,4.506825906,13.56629899,18,0,-5,8.33,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Ishibashi 2022,Cohort,Sural_nerve_amplitude,nerve conduction,SGLT2i/without SGLT2i,3 years,NA,Change,1.93,4.859629616,40,NA,NA,NA,NA,NA,NA,NA,NA,0,7.726066269,73,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SE,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,1.3,0.6,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,0.55,25,NA,NA,NA,NA,NA,NA,NA,NA,implied μv,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,-0.05,3.726513116,23,NA,NA,NA,NA,NA,NA,NA,NA,0.02,2.115206846,24,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SD,NA,NA,NA
Ishibashi 2022,Cohort,Sural_nerve_velocity,nerve conduction,SGLT2i/without SGLT2i,3 years,NA,Change,0.8,7.424284477,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,7.460730527,73,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SE,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,3.6,9.82,25,NA,NA,NA,NA,NA,NA,NA,NA,0.7,4.26,25,NA,NA,NA,NA,NA,NA,NA,NA,implied m/s,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,2.78,3.735692707,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,2.948643756,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Peroneal_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,0.4,0.13,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.43,25,NA,NA,NA,NA,NA,NA,NA,NA,implied mV,mean_SD,NA,NA,NA
