"study_id","design","outcome","outcome_category","groups","timepoint","timepoint_label","value_type","mean_e","sd_e","n_e","median_e","iqr_low_e","iqr_high_e","min_e","max_e","standard_error_e","ci_lower_e","ci_upper_e","mean_c","sd_c","n_c","median_c","iqr_low_c","iqr_high_c","min_c","max_c","standard_error_c","ci_lower_c","ci_upper_c","unit","reported_format","adjusted","analysis_scale","notes"
"Ishibashi 2022","Cohort","CNFD","Corneal","SGLT2i/without SGLT2i",NA,NA,"Change",0.0999999999999979,0.442718872423575,40,NA,NA,NA,NA,NA,NA,NA,NA,0.0999999999999979,0.598080262172228,73,NA,NA,NA,NA,NA,NA,NA,NA,"no./mm2","Mean_SE",NA,NA,NA
"Adhikari 2025","RCT","CNFD","Corneal","Dapagliflozin/standard of care",NA,NA,"Change",4.6932649792419,5.21388460692934,22,5.2,0,9.37,NA,NA,NA,NA,NA,-0.578386216240563,2.12596094662067,18,0,-4.17,2.08,NA,NA,NA,NA,NA,"no./mm2","Median_IQR",NA,NA,NA
"Ishibashi 2022","Cohort","CNFL","Corneal","SGLT2i/without SGLT2i",NA,NA,"Change",0,0.569209978830309,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.199999999999999,0.256320112359525,73,NA,NA,NA,NA,NA,NA,NA,NA,"mm/mm2","Mean_SE",NA,NA,NA
"Adhikari 2025","RCT","CNFL","Corneal","Dapagliflozin/standard of care",NA,NA,"Change",1.62132309484462,2.40649773956763,22,0.92,0,2.94,NA,NA,NA,NA,NA,0.572608624830002,2.87315131172637,18,0.97,-1.21,2.81,NA,NA,NA,NA,NA,"mm/mm2","Median_IQR",NA,NA,NA
"Ishibashi 2022","Cohort","CNBD","Corneal","SGLT2i/without SGLT2i",NA,NA,"Change",0.300000000000001,0.126491106406742,40,NA,NA,NA,NA,NA,NA,NA,NA,0.199999999999999,0.854400374531755,73,NA,NA,NA,NA,NA,NA,NA,NA,"no./mm2","Mean_SE",NA,NA,NA
"Adhikari 2025","RCT","CNBD","Corneal","Dapagliflozin/standard of care",NA,NA,"Change",12.8908665726539,12.5127200642381,22,8.33,2.08,20.3,NA,NA,NA,NA,NA,4.56473209317544,14.8590747017017,18,0,-5,8.33,NA,NA,NA,NA,NA,"no./mm2","Median_IQR",NA,NA,NA
"Ishibashi 2022","Cohort","Sural_nerve_amplitude","nerve conduction","SGLT2i/without SGLT2i","3 years",NA,"Change",1.93,0.758946638440409,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1.28160056179763,73,NA,NA,NA,NA,NA,NA,NA,NA,"μv","mean_SE",NA,NA,NA
"Vafaeinasab 2025","RCT","Sural_nerve_amplitude","nerve conduction","Empagliflozin/standard of care","5 months",NA,"Change",-0.0499999999999998,0.0300000000000243,23,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999999996,0.0899999999999987,24,NA,NA,NA,NA,NA,NA,NA,NA,"μv","mean_SD",NA,NA,NA
"El-Haggar 2024","RCT","Sural_nerve_amplitude","nerve conduction","Empagliflozin/standard of care","3 months",NA,"Change",1.25,0.635,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,0.56,25,NA,NA,NA,NA,NA,NA,NA,NA,"implied μv","mean_SD",NA,NA,NA
"Ishibashi 2022","Cohort","Sural_nerve_velocity","nerve conduction","SGLT2i/without SGLT2i","3 years",NA,"Change",0.799999999999997,0.126491106406728,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.899999999999999,0.939840411984928,73,NA,NA,NA,NA,NA,NA,NA,NA,"m/s","mean_SE",NA,NA,NA
"Vafaeinasab 2025","RCT","Sural_nerve_velocity","nerve conduction","Empagliflozin/standard of care","5 months",NA,"Change",2.78,0.180000000000002,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.699999999999996,0.00999999999998835,24,NA,NA,NA,NA,NA,NA,NA,NA,"m/s","mean_SD",NA,NA,NA
"El-Haggar 2024","RCT","Sural_nerve_velocity","nerve conduction","Empagliflozin/standard of care","3 months",NA,"Change",3,8.95,25,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2.32,25,NA,NA,NA,NA,NA,NA,NA,NA,"implied m/s","mean_SD",NA,NA,NA
"Vafaeinasab 2025","RCT","Peroneal_nerve_amplitude","nerve conduction","Empagliflozin/standard of care","5 months",NA,"Change",-0.00999999999999979,0.0200000000000044,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.00999999999999979,0.0300000000000002,24,NA,NA,NA,NA,NA,NA,NA,NA,"mV","mean_SD",NA,NA,NA
"El-Haggar 2024","RCT","Peroneal_nerve_amplitude","nerve conduction","Empagliflozin/standard of care","3 months",NA,"Change",0.35,0.14,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.36,25,NA,NA,NA,NA,NA,NA,NA,NA,"implied mV","mean_SD",NA,NA,NA
"Vafaeinasab 2025","RCT","Peroneal_nerve_velocity","nerve conduction","Empagliflozin/standard of care","5 months",NA,"Change",2.08000000000001,0.9,23,NA,NA,NA,NA,NA,NA,NA,NA,0.260000000000005,0.419999999999999,24,NA,NA,NA,NA,NA,NA,NA,NA,"m/s","mean_SD",NA,NA,NA
"El-Haggar 2024","RCT","Peroneal_nerve_velocity","nerve conduction","Empagliflozin/standard of care","3 months",NA,"Change",0.16,0.955,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.198,0.465,25,NA,NA,NA,NA,NA,NA,NA,NA,"implied m/s","mean_SD",NA,NA,NA
"Vafaeinasab 2025","RCT","Peroneal_nerve_latency","nerve conduction","Empagliflozin/standard of care","5 months",NA,"Change",-0.23,0.0399999999999999,23,NA,NA,NA,NA,NA,NA,NA,NA,-0.04,0.0300000000000002,24,NA,NA,NA,NA,NA,NA,NA,NA,"ms","mean_SD",NA,NA,NA
"El-Haggar 2024","RCT","Peroneal_nerve_latency","nerve conduction","Empagliflozin/standard of care","3 months",NA,"Change",-0.15,0.21,25,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.17,25,NA,NA,NA,NA,NA,NA,NA,NA,"implied ms","mean_SD",NA,NA,NA
