study_id,design,outcome,outcome_category,groups,timepoint,timepoint_label,value_type,mean_e,sd_e,n_e,median_e,iqr_low_e,iqr_high_e,min_e,max_e,standard_error_e,ci_lower_e,ci_upper_e,mean_c,sd_c,n_c,median_c,iqr_low_c,iqr_high_c,min_c,max_c,standard_error_c,ci_lower_c,ci_upper_c,unit,reported_format,adjusted,analysis_scale,notes
Ishibashi 2022,Cohort,CNFD,Corneal,SGLT2i/without SGLT2i,NA,NA,Baseline,18.8,3.604996533,40,NA,NA,NA,NA,NA,0.57,NA,NA,18.8,4.870082135,73,NA,NA,NA,NA,NA,0.57,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNFD,Corneal,SGLT2i/without SGLT2i,3 years,NA,Endpoint,18.9,3.16227766,40,NA,NA,NA,NA,NA,0.5,NA,NA,18.9,4.272001873,73,NA,NA,NA,NA,NA,0.5,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNFD,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0.1,2.652545947,40,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3.583392248,73,NA,NA,NA,NA,NA,NA,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNFD,Corneal,Dapagliflozin/standard of care,NA,NA,Baseline,14.22948435,5.953703583,22,14.6,10.4,18.7,NA,NA,NA,NA,NA,14.80331848,2.839310722,18,16.4,12.5,16.7,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNFD,Corneal,Dapagliflozin/standard of care,6 months,NA,Endpoint,19.61704594,4.272429901,22,20.8,16.7,22.9,NA,NA,NA,NA,NA,16.0717487,5.608471971,18,14.6,12.5,18.7,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNFD,Corneal,Dapagliflozin/standard of care,NA,NA,Change,4.277302542,5.108370007,22,5.2,0,9.37,NA,NA,NA,NA,NA,-0.672046014,2.332140832,18,0,-4.17,2.08,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Ishibashi 2022,Cohort,CNFL,Corneal,SGLT2i/without SGLT2i,NA,NA,Baseline,10.6,2.213594362,40,NA,NA,NA,NA,NA,0.35,NA,NA,10.5,2.477761086,73,NA,NA,NA,NA,NA,0.29,NA,NA,mm/mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNFL,Corneal,SGLT2i/without SGLT2i,3 years,NA,Endpoint,10.6,1.644384383,40,NA,NA,NA,NA,NA,0.26,NA,NA,10.3,2.734081199,73,NA,NA,NA,NA,NA,0.32,NA,NA,mm/mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNFL,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0,1.583666632,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,2.032323793,73,NA,NA,NA,NA,NA,NA,NA,NA,mm/mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNFL,Corneal,Dapagliflozin/standard of care,NA,NA,Baseline,11.41399101,2.89583044,22,11.7,9.68,13.4,NA,NA,NA,NA,NA,11.44301963,2.743254354,18,10.7,9.96,13.2,NA,NA,NA,NA,NA,mm/mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNFL,Corneal,Dapagliflozin/standard of care,6 months,NA,Endpoint,13.2690935,2.008832737,22,12.7,12.1,14.6,NA,NA,NA,NA,NA,13.13640154,4.492044536,18,12.5,10.3,15.4,NA,NA,NA,NA,NA,mm/mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNFL,Corneal,Dapagliflozin/standard of care,NA,NA,Change,1.521264197,2.405292975,22,0.92,0,2.94,NA,NA,NA,NA,NA,0.61278702,2.95710876,18,0.97,-1.21,2.81,NA,NA,NA,NA,NA,mm/mm2,Median_IQR,NA,NA,NA
Ishibashi 2022,Cohort,CNBD,Corneal,SGLT2i/without SGLT2i,NA,NA,Baseline,10.5,2.909295447,40,NA,NA,NA,NA,NA,0.46,NA,NA,10.9,4.69920206,73,NA,NA,NA,NA,NA,0.55,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNBD,Corneal,SGLT2i/without SGLT2i,3 years,NA,Endpoint,10.8,2.782804341,40,NA,NA,NA,NA,NA,0.44,NA,NA,11.1,3.844801685,73,NA,NA,NA,NA,NA,0.45,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,CNBD,Corneal,SGLT2i/without SGLT2i,NA,NA,Change,0.3,2.207623156,40,NA,NA,NA,NA,NA,NA,NA,NA,0.2,3.401543767,73,NA,NA,NA,NA,NA,NA,NA,NA,no./mm2,Mean_SE,NA,NA,NA
Adhikari 2025,RCT,CNBD,Corneal,Dapagliflozin/standard of care,NA,NA,Baseline,16.66136533,9.833490491,22,14.6,10.4,20.8,NA,NA,NA,NA,NA,22.60559455,20.61033803,18,15.6,11.2,29.2,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNBD,Corneal,Dapagliflozin/standard of care,6 months,NA,Endpoint,25.36092883,6.945079504,22,27.1,16.7,33.3,NA,NA,NA,NA,NA,25.40814693,20.35345962,18,19.8,12.5,31.2,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
Adhikari 2025,RCT,CNBD,Corneal,Dapagliflozin/standard of care,NA,NA,Change,11.97716956,11.7395668,22,8.33,2.08,20.3,NA,NA,NA,NA,NA,3.946652535,14.37442888,18,0,-5,8.33,NA,NA,NA,NA,NA,no./mm2,Median_IQR,NA,NA,NA
